PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
46,Yes || Proposes an ensemble learning framework combining regression random forests and gradient-boosting regression trees for automated cost estimation.,No || Not mentioned or unclear.,Yes || Evaluated using real dataset from San Francisco's building inspection department with actual construction project data.,Yes || Discusses limitations of traditional approaches relying on human experts and subjective judgments.,Yes
47,No || Develops a framework rather than an AI/ML model for cost prediction.,Yes || Describes the C-DREEM framework as a systematic approach for post-earthquake cost estimation.,Yes || Uses real Canterbury earthquake data and involves industry professionals in development and verification.,Yes || Mentions development team of eleven industry professionals and verification through focus group interviews with nine professionals.,Yes
48,Yes || Proposes and compares RBF and MLP neural network models for cost prediction with detailed accuracy metrics and simulation results.,No || Not mentioned or unclear.,Yes || Uses real project cost data from Greek contractors specializing in building renovations to train and test the models.,No || Not mentioned or unclear.,Yes
49,Yes || Develops a learning curve model using artificial neural networks (ANN) and relative importance index for cost and scheduling prediction.,No || Not mentioned or unclear.,Yes || Applied to a multi-unit housing project using historical data and analyzing critical factors.,No || Not mentioned or unclear.,Yes.
50,Yes || Develops six ML prediction models including Ensemble of Trees and GPR with performance metrics and R2 values.,No || Not mentioned or unclear.,Yes || Uses dataset of 500 products from market surveys and technical leaflets in Greek construction market.,Yes || Mentions practical applications for designers and educational resources for construction professionals.,Yes
51,Yes || Proposes a hypergraph deep learning model for construction cost prediction with emphasis on model accuracy and algorithmic improvements.,No || Not mentioned or unclear.,Yes || Validated using an actual construction cost dataset of school projects.,No || Not mentioned or unclear.,Yes
52,No || Not mentioned or unclear.,Yes || Describes BIM software applications including 5D for construction cost estimation.,Yes || Involves panel of experts from Saudi construction industry and focuses on real-world BIM implementation.,Yes || Employs Delphi study with expert panels and discusses strategic decision-making and teamwork.,No
53,Yes || Proposes an Adaptive Self-Explanatory CNN (ASCNN) model with Random Forest feature filtering and PSO optimization for cost estimation.,No || Not mentioned or unclear.,Yes || Collected and analyzed bidding control price data from 98 replica traditional vernacular dwellings for model validation.,No || Not mentioned or unclear.,Yes
54,Yes || Updates the KTH time and cost estimation model using MCMC method for probabilistic estimation with simulation results.,No || Not mentioned or unclear.,Yes || Practical application showcased using the Uri Hearace tunnel as an illustrative example.,Yes || Discusses practical implications from a decision-maker's standpoint.,No || Primary focus is on time estimation for tunneling projects with cost as secondary consideration.
55,Yes || Proposes an effort estimation model for agile software projects with detailed construction and use explanation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Discusses challenges and opportunities for scholars and practitioners in agile approaches.,No || Focuses on IT/software project effort estimation rather than construction cost estimation.
56,No || The study uses BIM for analysis but doesn't propose or test AI/ML models for cost prediction.,Yes || Describes using BIM technology and Navisworks platform for analyzing change orders and cost estimation.,Yes || Implemented in actual Iraqi government school construction projects with real cost data and field surveys.,Yes || Includes questionnaire responses from 165 participants and discusses factors like inadequate project management and estimation errors.,Yes
57,Yes || Proposes six ML classification algorithms including decision tree classifier for cost overrun prediction with performance evaluation.,No || Not mentioned or unclear.,Yes || Validated using 110 data points from a globally operating construction company.,Yes || Mentions need for user-friendly model and improving planning abilities of construction executives.,Yes
58,Yes || Uses PLS-SEM modeling techniques to develop a causal model analyzing BIM adoption impact on cost variance factors.,No || Not mentioned or unclear.,Yes || Uses data from 94 actual construction projects and survey data from construction industry experts.,Yes || Discusses Estimator Performance (EP) as a factor and involves construction industry expert assessments.,Yes
59,Yes || Proposes the Smart Tasmanian Devil-Enhanced Adaptive Gradient Boosting System (STD-AGB) for cost assessment with 97% accuracy.,No || Not mentioned or unclear.,Yes || Utilized 200 medical center construction project datasets and tested the model achieving 97% accuracy in early project stages.,No || Not mentioned or unclear.,Yes
60,Yes || Proposes and tests 15 ML regression algorithms including CatBoost and XGBoost for cost overrun prediction with comparative analysis.,No || Not mentioned or unclear.,Yes || Uses dataset of 836 public construction projects with field data for model validation.,No || Not mentioned or unclear.,Yes
61,Yes || Employs Multivariate Regression Random Forest and Ensemble Learning models for predicting unit bid prices with performance comparison.,No || Not mentioned or unclear.,Yes || Applied to 14 years of actual bid data from Michigan Department of Transportation with real construction cost analysis.,No || Not mentioned or unclear.,Yes
62,Yes || Discusses time series and AI/ML models for CCI forecasting with emphasis on prediction techniques and model validation.,No || Not mentioned or unclear.,Yes || Includes a case study to demonstrate practical application and validate prediction reliability.,No || Not mentioned or unclear.,Yes.
63,Yes || Tests six ML methods (ANFIS ANN GPR LSTM M5TREE SVM) for EVM-based cost prediction with performance comparisons.,No || Not mentioned or unclear.,Yes || Uses actual project data from a completed housing project in Türkiye with 2318 data points.,No || Not mentioned or unclear.,Yes
64,Yes || Uses Monte Carlo simulation method to model segregation costs with 24 scenarios and specified tolerance levels.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
65,Yes || Proposes and evaluates multiple machine learning models including CatBoostRegressor for cost prediction with accuracy improvements.,Yes || Describes a web-based application for estimating desalination plant construction costs.,Yes || Uses a dataset of over 21000 real desalination projects with actual CAPEX data ranging from $8000 to $2.56 billion.,No || Not mentioned or unclear.,No || Focuses on desalination plant cost estimation rather than general construction cost estimation.
66,Yes || Proposes six machine learning prediction algorithms including polynomial regression for completion cost prediction based on risk scores.,No || Not mentioned or unclear.,Yes || Applied to real-world cases using data from an international construction company with 119 risk and cost data points from 11 projects.,No || Not mentioned or unclear.,Yes
67,Yes || Proposes a hybrid F-AHP and ANN model for cost prediction with detailed algorithmic optimization and simulation results.,No || Not mentioned or unclear.,Yes || Validated using real-world data from 96 residential projects in Amman Jordan spanning 2014-2021.,No || Not mentioned or unclear.,Yes
68,No || Focuses on digital management practices rather than specific AI/ML models.,Yes || Discusses software applications and digital-first practices for cost estimation and management.,Yes || Mentions applied investigations of cases with successful bids and project completion.,Yes || Emphasizes the crucial role of construction professionals and targets both early-career and advanced practitioners.,Yes
69,No || Develops a methodology framework rather than an AI/ML model for prediction.,No || Describes a methodology rather than a software system or platform.,No || Presents a theoretical framework without implementation in actual projects.,No || Not mentioned or unclear.,Yes
70,No || This is a systematic review paper that analyzes existing approaches rather than proposing or testing a specific AI/ML model.,Yes || The paper focuses on BIM applications and integrated approaches as tools/platforms for project cost management.,No || This is a literature review that analyzes existing studies rather than implementing tools in actual construction projects.,No || The paper mentions researchers and industry professionals but does not discuss human factors like training or usability.,Yes
71,No || The paper compares BIM vs conventional methods but doesn't propose or test AI/ML models.,Yes || Describes using Revit software and BIM-Assisted Detailed Estimating (BADE) tool for cost estimation.,Yes || Implements BIM approach on an actual sewage treatment plant unit with detailed cost comparison results.,No || Not mentioned or unclear.,Yes
72,No || Focuses on knowledge graph framework and ontology rather than AI/ML models for prediction.,Yes || Proposes a framework with Digital Twins and query building blocks for safety information accessibility.,Yes || Methods are tested in a case study revealing insights into cross-domain decision impacts.,Yes || Aims to make safety information accessible to safety and planning professionals and mentions decision-makers gaining insights.,No || Primary focus is construction safety planning with cost estimation mentioned only as a similar challenge domain.
73,Yes || Proposes an Elman neural network optimized with Genetic Algorithm for cost prediction with detailed accuracy metrics and simulation results.,No || Not mentioned or unclear.,No || Uses training and test sets but no mention of actual construction projects or real company implementation.,No || Not mentioned or unclear.,Yes
74,No || Focuses on methodology integration rather than AI/ML model development.,Yes || Describes BIM-based system for automated cost evaluation and overhead cost assignment.,Yes || Includes real case study of four-story administrative building with concrete structure.,No || Not mentioned or unclear.,Yes
75,No || The paper focuses on structural engineering analysis rather than AI/ML models for cost prediction.,No || Not mentioned or unclear.,No || Uses designed structures for analysis but no real construction project implementation mentioned.,No || Not mentioned or unclear.,No || Cost estimation is part of life-cycle analysis but primary focus is on structural performance of self-centering frames.
76,Yes || Proposes a hybrid genetic algorithm-artificial neural network model for cost estimation with regression-based modeling and cross-validation results.,No || Not mentioned or unclear.,Yes || Applied to public road rehabilitation projects in Quezon City with real-world context and validation using actual project data.,No || Not mentioned or unclear.,Yes
77,Yes || Proposes an ANN-based cost prediction model with hyperparameter tuning and performance evaluation using mean square error.,No || Not mentioned or unclear.,Yes || Uses data from 377 actual building construction projects in India for model development and testing.,No || Not mentioned or unclear.,Yes
78,No || This is a systematic literature review categorizing cost overrun factors rather than proposing or testing AI/ML models.,No || While BIM is mentioned as a mitigation technology it does not describe a specific software system or platform.,No || This is a literature review study without implementation in actual construction projects or field tests.,No || Does not discuss human interaction with cost estimation tools or user factors.,No || Primary focus is on cost overruns broadly with cost estimation being only one of 10 factor categories identified.
79,Yes || Proposes four ANN-based models for cost prediction with performance metrics like RMSE and correlation coefficient.,No || Not mentioned or unclear.,Yes || Uses historical data from 291 highway projects in Iraq collected between 2011 and 2023.,No || Not mentioned or unclear.,Yes
80,No || Focuses on methodology and digital tools rather than specific AI/ML models.,Yes || Describes a cloud-based digital platform for well cost management with collaborative features and Monte Carlo computations.,Yes || Presents a two-year implementation case study by a Malaysian operator with actual cost tracking and 95% accuracy results.,Yes || Mentions collaboration among finance analysts cost controllers drilling engineers and managers using the platform.,Yes
81,Yes || Develops multiple regression analysis models for cost forecasting with statistical validation and MAPE results.,No || Not mentioned or unclear.,Yes || Uses data from 43 completed road projects in New Zealand for model development and testing.,No || Not mentioned or unclear.,Yes
82,No || Paper focuses on CO2 pipeline transportation review rather than proposing AI/ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Construction costs are mentioned as one factor among many in CCS pipeline design but not the primary focus.
83,Yes || Develops a Fuzzy Expert System model using MATLAB fuzzy toolbox for cost prediction with error analysis validation.,No || Not mentioned or unclear.,Yes || Uses real-life cost data sets collected from Bangladesh and validates the model through error analysis.,No || Not mentioned or unclear.,Yes
84,No || Focuses on identifying cost-influencing factors through survey analysis rather than proposing AI/ML models.,No || Does not describe software systems or automation tools for cost estimation.,Yes || Includes survey data from 1076 engineers in the Saudi construction industry and real-world cost factor analysis.,Yes || Discusses engineers' perceptions of cost factors and how experience/education shape these perceptions.,Yes
85,Yes || Proposes mRMR-LightGBM-SHAP machine learning framework for cost prediction with simulation results showing 13.00% MAPE.,No || Not mentioned or unclear.,Yes || Uses historical data of metro construction projects and mentions application in real-world scenarios.,Yes || Discusses subjectivity of cost estimation relying on estimator's experience and mentions decision trust improvement.,Yes
86,No || The paper uses FAHP methodology but focuses on BIM capabilities rather than proposing AI/ML models for cost prediction.,Yes || Discusses BIM software applications including 5D cost estimation tools and their implementation in infrastructure projects.,Yes || Studies infrastructure projects in Kingdom of Saudi Arabia with professional input through Delphi method rounds.,Yes || Mentions professionals providing multiple rounds of input and feedback through the Delphi method study.,No || Cost estimation is mentioned as one BIM capability but the primary focus is on overall project KPIs and BIM applications.
87,Yes || Proposes a hybrid NGBoost and LGBoost model for cost prediction with focus on algorithmic improvements and simulation results.,No || Not mentioned or unclear.,Yes || Validated using real BIM database of power engineering costs from 2002-2022 with 2000 pieces of actual project data.,No || Not mentioned or unclear.,Yes
88,Yes || Proposes ML models and GANs for predicting shear wall ratios and generating layouts with interpretability analysis.,No || Not mentioned or unclear.,Yes || Uses existing shear wall design data to establish dataset and test the proposed methods.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as context but the primary focus is on shear wall structure design and generation.
89,Yes || Proposes PSO-optimized neural networks and M5P regression tree models for cost prediction with performance evaluation using MSE and correlation metrics.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
90,No || The paper uses statistical analysis (RII and T-test) for ranking factors rather than proposing AI/ML models for cost prediction.,No || Focuses on management practices and techniques rather than describing software systems or platforms.,Yes || Includes comprehensive analysis of real-time industry practices based on questionnaire survey results from construction professionals.,Yes || Conducts questionnaire survey analyzing industry practices and provides insights for three stakeholder groups (client consultant contractor).,Yes
91,No || Focuses on MCDM framework integration rather than AI/ML model development.,Yes || Describes integration of GIS and BIM systems with MCDM for infrastructure planning.,Yes || Validated through highway project case study with 150 simulated alternatives.,No || Not mentioned or unclear.,No || Cost estimation is one of several criteria alongside environmental and safety factors.
92,Yes || Proposes a random forest algorithm and quantum computing techniques for cost prediction with focus on model efficiency and accuracy.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
93,No || The paper establishes correlations between ground conditions and TBM utilization factors but does not propose or test AI/ML models.,No || Not mentioned or unclear.,Yes || Uses field records from actual construction of Greater Cairo metro line 3 to establish correlations.,No || Not mentioned or unclear.,Yes
94,No || Focuses on BIM platform development rather than AI/ML models for cost prediction.,Yes || Describes development of CEV (Civil Easy View) BIM platform built on Autodesk Forge viewer for construction management.,Yes || Explores integration of 4D BIM data within WBS framework in a real-world setting with field implementation.,Yes || Mentions platform designed for field staff and supervisors indicating user-focused design considerations.,No
95,Yes || Proposes ML models with node2vec algorithms and cosine similarity for contingency cost estimation with 82% accuracy results.,Yes || Describes a recommendation system that provides tailored recommendations and aids project management for rework costs.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
96,No || Focuses on 5D technology application rather than proposing specific AI/ML models.,Yes || Describes 5D intelligent technology platform for landscape design with real-time cost monitoring and integration.,Yes || Includes simulation experiments showing cost reduction of 61000 yuan and safety performance improvement.,No || Not mentioned or unclear.,Yes
97,Yes || Tests eleven machine learning algorithms including Partial Least Squares regression for cost prediction with performance metrics.,No || Not mentioned or unclear.,Yes || Uses real data from 203 construction projects provided by an engineering consulting firm.,No || Not mentioned or unclear.,Yes
98,Yes || Proposes a hybrid machine learning approach combining ANNs SVMs MLR DTs and RF models with focus on algorithmic improvements and accuracy results.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
99,Yes || Uses Partial Least Squares Structural Equation Modeling (PLS-SEM) to model cost overrun risks with statistical analysis and validation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
100,Yes || Proposes a Vector Autoregression (VAR) multivariate time series model for CCI forecasting with comparison to benchmark models like ARIMA and SVR.,No || Not mentioned or unclear.,Yes || Uses real data from January 2000 to April 2023 and validates the model across different economic phases with walk-forward cross-validation.,No || Not mentioned or unclear.,Yes
101,Yes || Proposes and tests multiple ML algorithms including Linear Regression Decision Trees SVM CNN and PSO for cost prediction with performance evaluation metrics.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes
102,Yes || Proposes an SVR model for cost prediction with specific parameter configuration and 97.91% accuracy results.,Yes || Describes crafting an automated tool to replace manual cost estimation methods.,Yes || Uses real dataset of 317 EHV transmission towers erected in Taiwan between 2009-2019.,Yes || Mentions the manual process is strenuous on human labor and aims to replace existing manual methods.,Yes
103,Yes || Develops a multi-regression analysis cost-predictive model with over 95% accuracy for hospital construction.,No || Not mentioned or unclear.,Yes || Uses historical data analysis and validates model accuracy with specific percentage errors for different components.,Yes || Mentions expert opinions and focus groups as part of the methodology to identify critical factors.,Yes
104,Yes || Proposes a Logistic function-based evaluation method and stochastic differential equation with Monte Carlo simulation for cost analysis.,No || Not mentioned or unclear.,No || Focuses on theoretical analysis of ADANES system rather than actual construction project implementation.,No || Not mentioned or unclear.,Yes
105,Yes || Utilizes deep learning and machine learning techniques for material quantity estimation and cost prediction.,Yes || Describes an AI-based software solution for streamlining material quantity estimation in EPC projects.,Yes || Built on empirical data from a large EPC company and tested in real industry setting.,No || Not mentioned or unclear.,Yes
106,Yes || Proposes correlations and estimation methods based on plant capacity and energy losses for capital investment prediction.,No || Not mentioned or unclear.,Yes || Built database of 160+ actual chemical recycling plants with real construction data and compared with commercial expenditure intervals.,No || Not mentioned or unclear.,Yes
107,Yes || Proposes PAAD algorithm using genetic evolutionary strategy for panelization optimization with simulation results.,Yes || Introduces a preliminary interface and describes the algorithm as a tool for architectural panel configuration.,Yes || Validated through analysis against industry implementation and expert-derived solutions.,No || Not mentioned or unclear.,No || Panelization is described as one aspect of cost estimation but the primary focus is on material optimization and panel configuration.
108,No || Focuses on critical success factors analysis rather than proposing AI/ML models.,No || Mentions MSP software and CAD drawings as analysis tools but doesn't describe developing new software systems.,Yes || Includes detailed case study of the Stargaze project in Pune Maharashtra with real project data.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one component but paper primarily focuses on overall project success factors.
109,Yes || Proposes a mathematical model combining random forest algorithm ridge regression algorithm and extreme gradient boosting for cost prediction with simulation results.,No || Not mentioned or unclear.,Yes || Compares predicted values with actual values showing average relative error of 0.872%.,No || Not mentioned or unclear.,Yes
