PaperID,Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Abstract
11,Feng N.,"Feng, Ning (36702617300)",36702617300,Intelligent Estimation of Construction Project Costs Based on Subtractive Clustering-based Self-Learning Convolutional Neural Network,2025,Journal of Combinatorial Mathematics and Combinatorial Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003741239&doi=10.61091%2fjcmcc127a-406&partnerID=40&md5=d4e0c161be88f8a1c467ea6af52620e2,"Traditional construction project cost estimation methods rely on expert experience and statistical models, which are difficult to handle complex data and multimodal features effectively and have low prediction precision. This paper constructs an intelligent building engineering cost estimation model that combines subtractive clustering, a self-learning mechanism, and convolutional neural networks (CNN) to address this problem. In the data preprocessing stage, subtractive clustering is applied to optimize multimodal data, screen key features, and eliminate redundant information. Subsequently, the model parameters are dynamically adjusted according to the error feedback through a self-learning mechanism to improve its adaptability to diverse construction projects. In the feature extraction and estimation stage, the CNN module is combined to extract deep features from images, texts, and numerical data to achieve high-precision estimation. The experimental results show that the model in this paper outperforms traditional methods in terms of MSE (mean-square error), MAE (mean absolute error), R2 (coefficient of determination), MAPE (mean absolute percentage error), with the mean values being 73.18, 8.33, 0.9477, and 5.33%, respectively. In summary, the model in this paper demonstrates superior precision, adaptability, and robustness in construction project cost estimation. © 2025 The Author(s)."
12,Castañeda K.; Sánchez O.; Peña C.A.; Herrera R.F.; Mejía G.,"Castañeda, Karen (57218622109); Sánchez, Omar (57218621184); Peña, Carlos A. (57204792944); Herrera, Rodrigo F. (57192660568); Mejía, Guillermo (57197731992)",57218622109; 57218621184; 57204792944; 57192660568; 57197731992,BIM Uses for Mitigating Deficiencies in Road Scheduling Planning,2025,Sustainability (Switzerland),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000942227&doi=10.3390%2fsu17062729&partnerID=40&md5=4db06fa821fc13d3fbd74903fe5d97ee,"Efficient scheduling is essential for successful and sustainable road construction projects. However, conventional planning approaches often lack adaptability, visualization, and integration with modern technologies, leading to schedule deficiencies and cost overruns. Therefore, this paper studies the influence of BIM uses in mitigating planning deficiencies in road construction scheduling. A four-stage research method was employed: (1) identification of BIM uses relevant to road projects, (2) determination of principal causes contributing to scheduling deficiencies, (3) cross-impact analysis to quantify BIM’s influence on these deficiencies, and (4) expert interviews to characterize key BIM uses. Results highlight that 4D construction planning, quantity take-off and cost estimation, and traffic management planning positively impact road scheduling, reducing errors in work breakdown structures, resource allocation, and coordination between project stakeholders. BIM streamlines communication, supports proactive risk management, and enables real-time schedule adjustments by providing an integrated digital environment. This research shows the advantages of applying BIM in road construction to improve project planning, curtail scheduling setbacks, and encourage adopting innovative practices. The results provide information that planners can utilize to enhance the use of BIM in scheduling road construction projects. © 2025 by the authors."
13,Wang H.; Zhao D.; Li X.; Suo L.; Lu L.; Zhang Z.,"Wang, Hongzeng (59559944700); Zhao, Dan (55994289500); Li, Xiaomei (36174263300); Suo, Luodan (16067519200); Lu, Li (54795301600); Zhang, Zhujiazi (54796218800)",59559944700; 55994289500; 36174263300; 16067519200; 54795301600; 54796218800,"Costs estimation of three models of COVID-19 vaccination in Beijing, China",2025,Vaccine: X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217922259&doi=10.1016%2fj.jvacx.2025.100616&partnerID=40&md5=e73096631e565282c372a1f7e39b8019,"Since the emergency use authorization for the COVID-19 vaccine in 2021, the Chinese government has used three vaccination models: vaccination clinic, mass vaccination center, and door-to-door service. This study compared these three different models, focusing on costs, and implementation in each vaccination strategy. A cross-sectional study, conducted during the COVID-19 vaccination campaign from January 1 to 20, 2021, utilized a questionnaire to collect data on vaccination sites and conducted a random sample costs analysis of three models. Data on costs, including construction, materials, labor, and operations, were gathered through interviews and field surveys to understand resource utilization and personnel involvement in vaccination activities. Beijing's COVID-19 vaccination campaign involved 580 locations administering 1,829,324 doses. The numbers of vaccination clinics, mass vaccination centers, and door-to-door service were 233, 137, and 210. The total doses administered at vaccination clinics, mass vaccination centers, and door-to-door service numbered 465,721 (25.5 %), 991,444 (54.2 %), and 372,159 (20.3 %), respectively. The median daily doses administered at vaccination clinics, mass vaccination centers, and door-to-door service were 124, 453, and 540, respectively. The daily costs of the vaccination clinic, mass vaccination center, and door-to-door service were $4644.1, $22,746.5, and $4109.6, respectively, and the costs per dose were $12.9, $10.5, and $7.4, respectively. We concluded that there are significant variations in costs and efficiency across the three vaccination models. We must comprehensively consider the available regional resources, the target population for vaccination, the expected vaccination effect, and other factors to choose an appropriate vaccination model. © 2025 The Authors"
14,Qu Z.; Dong G.; Sun Q.; He C.; Lu L.,"Qu, Zhanfei (59527126300); Dong, Gang (59527126400); Sun, Qigang (57217525163); He, Chunhui (57221979265); Lu, Ling (57732576800)",59527126300; 59527126400; 57217525163; 57221979265; 57732576800,Intelligent Planning of Power Transmission and Transformation Projects Based on AI and Multi-source Heterogeneous Data Integration,2024,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215999677&doi=10.1145%2f3700906.3700988&partnerID=40&md5=2e743119b0c938160f1bf3d56fad2eed,"The acceleration of smart grid construction imposes higher demands on the intelligent planning of power transmission and transformation projects. To address the inefficiencies and high costs in existing planning methods, this paper proposes an intelligent planning approach based on multi-source heterogeneous data integration and artificial intelligence. By integrating multi-source heterogeneous data to analyze on-site information, and utilizing Bayesian networks and Convolutional Neural Networks with Attention Mechanisms (CNNAM), the planning and construction processes of power transmission and transformation projects are optimized. This approach significantly improves the accuracy and reliability of cost estimation, providing strong data support and technical assurance for the intelligent planning of power transmission and transformation projects, thereby making the planning process more effective and practical. © 2024 Copyright held by the owner/author(s)."
15,Rostami M.; Kahraman S.; Dibavar B.; Fener M.,"Rostami, Masoud (57245422600); Kahraman, Sair (7005541488); Dibavar, Behnaz (57212657089); Fener, Mustafa (14522411400)",57245422600; 7005541488; 57212657089; 14522411400,Performance prediction of roadheaders used in coal mines from the needle penetration index and the schmidt hammer value,2024,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185502837&doi=10.1007%2fs40948-023-00725-x&partnerID=40&md5=de23a61f4243c1bc73c2cf2bcdc09d52,"Coal mine galleries and construction tunnels are commonly excavated using roadheaders. Estimating the performance of roadheaders is crucial for planning and cost estimation when planning tunnel or tunnel projects. The aim of this study is to derive generalized performance prediction models including Schmidt hammer value, needle penetration index, and volumetric joint count for roadheaders used in coal mines. The performance measurements of axial and transverse type roadheaders were carried out in six different coal mines. Schmidt hammer tests, needle penetration index tests, and of volumetric joint count measurements were also performed at the locations where the performance measurements were conducted. The extensive data were evaluated using multiple linear and nonlinear regression analysis. The developed formulas were evaluated using statistical tests. The Equations that include the Schmidt hammer value or needle penetration index value in addition to cutter head power have been shown to be unreliable. However, the equations that include Schmidt hammer value or needle penetration index value in addition to cutterhead power and volumetric joint count have been shown to be reliable. This study concludes that the developed reliable equations can be used for the performance assessment of roadheaders used in coal mines. © The Author(s) 2024."
16,,,,"24th International Conference on Marine Technology, SENTA 2024",2025,IOP Conference Series: Earth and Environmental Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001111676&partnerID=40&md5=aedcd8f42ae34c9c621df633a53e842b,The proceedings contain 53 papers. The topics discussed include: the effect of damage on single and double hull construction to the ultimate strength of the ship; simulation on deck side corner and its effect to the ultimate strength; impact of fillet geometry on flow patterns in seawater cooling system T-type tee junctions of multi-purpose support vessel; concept development of new type anchoring system for a tanker; study of polyurethane elastomer cores interfacial fracture resistance of the sandwich materials for ship structures; numerical simulation of sloshing with floating baffles using smoothed particle hydrodynamics; enhancing engineering intuition for shipyard investment cost estimation through a computer-aided training framework; and the investigation of the initial cracks effect on ship steering gear towards environmental safety.
17,Karadimos P.; Anthopoulos L.,"Karadimos, Panagiotis (58692952900); Anthopoulos, Leonidas (35809721600)",58692952900; 35809721600,A taxonomy of machine learning techniques for construction cost estimation,2024,Innovative Infrastructure Solutions,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206569765&doi=10.1007%2fs41062-024-01705-0&partnerID=40&md5=dd2e25fb01d7aef76c82dd2e3ab97686,"Construction projects require significant funding and are exposed to several risks. Public construction projects require a major proportion of the annual government budget. Their actual cost estimation concerns a known and existing problem for the construction sector, while several project failures in terms of budget extension can be documented around the world. Accurate construction cost predictions are essential in mitigating time-related risks and play a crucial role in the decision-making process for managers. Inaccurate cost estimations can result in investment project disruptions. Research about machine learning (ML) techniques regarding construction cost estimation is intensifying, which aims to develop new ML techniques or update existing ones. This article contains a systematic literature review of ML techniques for construction project cost estimation. This review included an in-depth analysis of 219 studies, which contain the most prominent machine learning techniques. This article attempts to define a classification of the identified ML techniques, with the following criteria: intelligent technique that was followed and the application domain. The taxonomy that was generated contains ML techniques about construction cost estimation and their application, which offers useful guidance for both researchers and practitioners. © Springer Nature Switzerland AG 2024."
18,Ma K.; Zhou Y.,"Ma, Kezhuo (59157000800); Zhou, Yu (57218340235)",59157000800; 57218340235,A comprehensive quantitative lifecycle cost and environmental impact analysis model for computing infrastructure,2024,MethodsX,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207769621&doi=10.1016%2fj.mex.2024.103009&partnerID=40&md5=770aebc8c57dfc2986a25e613a32a5cd,"This paper presents a comprehensive quantitative model for quantitative assessment of the lifecycle costs and environmental impacts of computing infrastructure, with a focus on internet data centers (IDCs) and high-performance computing (HPC) facilities. The key innovation lies in the integration of interdisciplinary cost evaluation and carbon emission methods for the establishment of this quantitative model. This framework, which outlines key cost components and carbon emission factors, enables the calculation of total costs, electricity expenses, and greenhouse gas emissions throughout the lifecycle of infrastructure. With IDCs as a case study, the research clarifies the intricate cost structure associated with equipment procurement, energy usage, land acquisition, and operational expenses. This paper provides an in-depth understanding of the cost structure and environmental impact of computing infrastructure in support of sustainable decision-making in its development. • Based on established cost estimation methods, such as Lifecycle Cost Analysis (LCCA) and the Analogous Estimating Method, this study examines costs across construction and operation phases. • The Emission Factor Method is used to quantify environmental impact, emphasizing the significance of regional energy mix and power usage effectiveness (PUE). © 2024 The Author(s)"
19,Abo Mhady A.; Budayan C.; Gurgun A.P.,"Abo Mhady, Ahmed (59249425500); Budayan, Cenk (26326103600); Gurgun, Asli Pelin (55826595000)",59249425500; 26326103600; 55826595000,Estimate-at-completion (EAC) prediction using Archimedes optimization with adaptive fuzzy and neural networks,2024,Automation in Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200608393&doi=10.1016%2fj.autcon.2024.105653&partnerID=40&md5=0a28d3fd1a87e327752fa3059ce9af22,"Construction companies estimate project costs at the beginning of the project; however, many factors impact the final project cost. Estimate at Completion (EAC) is a critical approach for estimating the final cost based on actual project performance. This paper aims to improve EAC predictions by integrating Adaptive Neuro-Fuzzy Inference Systems (ANFIS) and Artificial Neural Network (ANN) with Archimedes Optimization Algorithm (AOA). The integration of the input optimization algorithm aims to optimize the input features and explore the factors that significantly affect EAC. Using 306 data points from 13 construction projects in Taiwan between 2000 and 2007, this paper developed hybrid models and found a significant improvement in EAC estimation compared to ANN and ANFIS. © 2024"
20,Jassim H.S.H.; Hasan M.F.; Altaee M.J.; Gamil Y.,"Jassim, Hassanean S. H. (57194156839); Hasan, Musaab F. (57213529764); Altaee, Mohammed J. (57195546903); Gamil, Yaser (57191379149)",57194156839; 57213529764; 57195546903; 57191379149,A model for preliminary cost estimation in buildings construction projects,2025,Frontiers in Built Environment,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219465536&doi=10.3389%2ffbuil.2025.1359777&partnerID=40&md5=195c0afa14a7507e7c1e349ab0b02fb1,"Despite recent rapid developments in computer programs used to improve buildings construction sector cost estimation techniques, costing models utilizable in a building construction project’s early planning stages remain scarce due to the lack of a simplified, integrated method that can operate with the limited data available. This research aimed to help buildings construction project stakeholders in Iraq to improve the accuracy of preliminary buildings project cost estimations based on the initial information available and historical buildings project data to evaluate a future project’s feasibility. A literature review of topics related to preliminary cost estimation, particularly buildings projects and factors affecting their cost, informed development of an integrated mathematical model based on a support vector machine to facilitate preliminary cost estimation during early buildings construction project planning utilizing relevant factors from both old and new projects (i.e., total floor area of buildings, construction duration, total number of floors, average floor height, location index, project quality standards, project complexity, and facilities provision). To enhance accuracy, the final cost forecasting model was modified using an inflation rate impact scenario to account for any future economic effects on anticipated building costs. This study concluded that the dominant factors behind cost variations between similar projects over different periods, and thus the primary factors for building cost estimation, are building area, average floor height, and number of floors. Thus, this study contributes to enhancing best practice in cost estimating for building construction projects in the pre-design, early planning phase, enabling decision makers to plan alternative options to enhance decisions on feasibility within the project’s constraints. Novelty arises from the features of the input factors used for the developed model to determine the preliminary budget required in the early planning stage taking into account construction sector inflation values for the following period. Copyright © 2025 Jassim, Hasan, Altaee and Gamil."
